id,category,name,image_file,source_post,description,base_stats,upgrades,special_notes
gold_8_pounder,Gold,8-Pounder,gold_8_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"A standard class cannon.","Hit Probability: 25%; Cannon Range: 5; Reload Time: 50 Seconds; Cost: 750 Gold","",""
gold_12_pounder,Gold,12-Pounder,gold_12_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"For early victories.","Hit Probability: 29%; Cannon Range: 8; Reload Time: 40 Seconds; Cost: 2,000 Gold","",""
gold_16_pounder,Gold,16-Pounder,gold_16_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"For minor wars.","Hit Probability: 35%; Cannon Range: 10; Reload Time: 35 Seconds; Cost: 3,500 Gold","",""
gold_20_pounder,Gold,20-Pounder,gold_20_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"For effective attacks.","Hit Probability: 38%; Cannon Range: 12; Reload Time: 20 Seconds; Cost: 6,000 Gold","",""
gold_24_pounder,Gold,24-Pounder,gold_24_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"Rapid destruction.","Hit Probability: 43%; Cannon Range: 14; Reload Time: 15 Seconds; Cost: 8,500 Gold","",""
gold_30_pounder,Gold,30-Pounder,gold_30_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"Perfect pyrotechnics.","Hit Probability: 45%; Cannon Range: 18; Reload Time: 10 Seconds; Cost: 10,000 Gold","",""
gold_50_pounder,Gold,50-Pounder,gold_50_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"The perfect annihilation. These cannons increase critical hit chance and critical damage.","Hit Probability: 75%; Cannon Range: 25; Reload Time: 7 Seconds; Cost: 100,000 Gold","Level 1: +4% Critical Hit Probability, +4% Critical Damage; Level 2: +8% Critical Hit Probability, +8% Critical Damage; Level 3: +12% Critical Hit Probability, +12% Critical Damage; Level 4: +16% Critical Hit Probability, +16% Critical Damage; Level 5: +20% Critical Hit Probability, +20% Critical Damage","Upgrading does not change the listed base stats."
gold_repair_cannon_level_1,Gold,Repair Cannon Level 1,gold_repair_cannon_level_1.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521775,"This repair cannon fires valuable repair ammunition with great precision.","Hit Probability: 45%; Cannon Range: 18; Reload Time: 10 Seconds; Cost: 10,000 Gold","","Repair-only cannon. Deals no damage and uses Repair Ammunition exclusively."
elite_55_pounder,Elite,55-Pounder,elite_55_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521776,"The perfect long-range destroyer. These cannons increase critical hit chance and critical damage.","Hit Probability: 75%; Cannon Range: 30; Reload Time: 7 Seconds","Level 1: +4% Critical Hit Probability, +4% Critical Damage; Level 2: +8% Critical Hit Probability, +8% Critical Damage; Level 3: +12% Critical Hit Probability, +12% Critical Damage; Level 4: +16% Critical Hit Probability, +16% Critical Damage; Level 5: +20% Critical Hit Probability, +20% Critical Damage","Can be upgraded to Level 5 without changing the listed base stats."
elite_60_pounder,Elite,60-Pounder,elite_60_pounder.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521776,"A 60-pound cannon increases damage with pearl ammunition and also increases critical hit chance and critical damage.","Hit Probability: 75%; Cannon Range: 30; Reload Time: 7 Seconds","Level 0: +5 Elite Ammunition Bonus, +10% Critical Hit Probability, +10% Critical Damage; Level 1: +6 Elite Ammunition Bonus, +12% Critical Hit Probability, +12% Critical Damage; Level 2: +7 Elite Ammunition Bonus, +14% Critical Hit Probability, +14% Critical Damage; Level 3: +8 Elite Ammunition Bonus, +16% Critical Hit Probability, +16% Critical Damage; Level 4: +9 Elite Ammunition Bonus, +18% Critical Hit Probability, +18% Critical Damage; Level 5: +10 Elite Ammunition Bonus, +20% Critical Hit Probability, +20% Critical Damage","Can be upgraded to Level 5 without changing the listed base stats."
elite_repair_cannon_level_2,Elite,Repair Cannon Level 2,elite_repair_cannon_level_2.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521776,"This repair cannon reloads more quickly, hits targets more precisely and fires further than ever expected.","Hit Probability: 75%; Cannon Range: 25; Reload Time: 7 Seconds; Cost: 7,500 Pearls","","Repair-only cannon. Deals no damage and uses Repair Ammo exclusively."
admiral_cannon,Admiral,Admiral Cannon,admiral_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521777,"The ultimate in destruction. It causes more damage and also grants extra experience and elite points for every cannonball fired.","Hit Probability: 75%; Cannon Range: 30; Reload Time: 7 Seconds","","Bonuses: +2 Gold Ammunition Bonus; +5 Elite Ammunition Bonus; +1 Experience Points Bonus; +1 Elite Points."
voodoo_cannon,Voodoo,Voodoo Cannon,voodoo_cannon.jpg,https://board-en.seafight.com/threads/cannons.1822/#post-521778,"These powerful cannons reveal their power if you have a Voodoo Priest on board.","Hit Probability: 75%; Cannon Range: 30; Reload Time: 7 Seconds; Critical Hit Probability: 20%; Critical Damage: 20%","Level 1: +4 Elite Ammunition Bonus; Level 2: +8 Elite Ammunition Bonus; Level 3: +12 Elite Ammunition Bonus; Level 4: +16 Elite Ammunition Bonus; Level 5: +20 Elite Ammunition Bonus, 25% Occult Damage, +0.15% Battle Point Bonus","Additional Voodoo Priest bonuses: Level 1 +10 Elite Ammunition Bonus; Level 2 +20; Level 3 +30; Level 4 +40. Battle point and occult damage bonuses require Voodoo Priest Level 4."
